tp fp fn
1 0 0
1 0 1
1 0 0
0 0 0
2 0 0
0 0 1
2 0 0
0 0 1
1 0 1
0 0 1
1 0 0
1 0 0
0 0 0
1 0 0
0 0 0
0 0 1
1 0 0
0 0 1
0 0 1
2 0 2
2 0 1
0 0 1
0 0 3
2 0 1
2 0 0
0 0 0
1 0 3
2 0 1
2 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 1
0 0 1
2 0 0
1 0 0
0 0 0
0 0 2
1 0 0
1 0 0
0 0 0
0 0 2
1 0 0
1 0 3
0 0 1
2 0 2
1 0 0
1 0 0
1 0 0
0 0 0
2 0 1
0 0 1
0 0 0
0 0 0
1 0 0
1 0 0
1 0 0
2 0 2
2 1 0
2 0 2
2 0 0
1 0 1
0 0 0
1 0 0
1 0 0
1 0 0
2 0 0
2 1 0
0 0 2
0 0 2
2 0 1
0 0 1
2 0 0
0 0 0
3 0 1
0 0 1
3 0 1
0 0 0
0 0 0
1 0 0
4 0 1
1 0 1
3 0 1
2 0 1
2 0 2
0 0 0
2 0 1
0 0 3
0 0 0
0 0 0
0 0 0
0 0 1
0 0 0
0 0 0
0 0 0
2 0 0
2 1 1
0 0 0
2 0 0

tp fp fn
89 3 60

precision recall
0.967391 0.597315
